Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Dominica,DMA,4819.899954,4925.629692,4837.631934,4997.16258,5329.135796,5250.352561,5522.285618,5953.548718,6463.624217,6891.460797,6937.256084,7023.353428,6768.294416,7036.548388,7244.495847
Dominican Republic,DOM,2802.424044,2862.16308,3008.469048,2372.629772,2421.093882,3681.065415,3836.475649,4637.239959,4996.942663,4933.94305,5441.965749,5820.3963,5967.000984,5968.669476,6163.575857
Ecuador,ECU,1451.290776,1903.741868,2183.967465,2440.469164,2708.558293,3021.942767,3350.784142,3590.711513,4274.940821,4255.555563,4657.301737,5223.377575,5702.168288,6051.611129,6345.840725
Egypt,EGY,1461.018259,1402.759854,1238.926558,1147.781713,1071.323339,1196.733309,1409.177875,1681.314481,2061.612772,2349.286865,2668.035988,2816.666943,3226.131379,3264.450063,3365.707421
El Salvador,SLV,2259.888269,2363.271031,2435.472748,2549.886636,2666.339695,2874.257256,3108.592529,3358.421252,3569.335393,3431.280068,3547.070983,3821.33859,3921.720395,3998.739499,4119.992023
Equatorial Guinea,GNQ,1970.251229,2661.421479,3182.767874,4234.602086,7276.075656,13129.59818,14162.05489,16186.17321,23347.66085,14451.52422,17441.09255,22944.92629,23278.23006,21497.89443,18918.27683
Eritrea,ERI,199.8131951,205.8460357,192.5076432,221.5268127,272.8328326,262.0745298,281.3750173,299.1114518,306.6651439,404.196309,451.4266933,544.4624311,..,..,..
Estonia,EST,4070.031904,4498.958704,5308.346961,7174.240792,8850.46785,10338.31726,12595.41484,16586.40796,18094.5474,14726.31391,14641.40314,17453.75376,17490.99313,19155.42125,20147.77822
Ethiopia,ETH,124.0509505,120.3531152,111.5311693,119.0586588,135.9763619,161.8769539,194.0779937,243.6288455,325.7949007,380.264841,341.8589562,355.5889915,469.7923039,503.9026066,573.5659603
Faroe Islands,FRO,22850.44296,24566.06384,26731.13714,31098.09,35008.16852,35808.82986,40617.30498,46878.11546,49625.47867,46429.92063,47381.52276,50910.43405,48695.17118,54117.84438,..
Fiji,FJI,2076.013308,2038.899241,2259.055796,2835.980917,3332.91446,3658.617477,3750.034991,4079.228842,4178.321691,3369.855205,3651.958291,4351.919334,4550.267095,4765.658997,5112.322117
Finland,FIN,24253.25042,24913.24452,26834.02625,32816.16088,37636.11173,38969.17163,41120.67651,48288.5491,53401.31487,47107.15571,46205.16601,50787.56498,47415.55987,49492.82806,49842.71306
France,FRA,22465.64184,22527.31775,24275.2426,29691.18158,33874.74255,34879.72633,36544.50853,41600.58397,45413.06571,41631.13141,40705.76623,43807.4759,40850.35237,42627.65244,42725.73949
French Polynesia,PYF,14530.22602,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,4115.036784,3981.858786,4119.154596,4929.322637,5755.959504,6865.323497,7206.968408,8632.756951,10523.27025,8061.569276,9312.049463,11530.1472,10642.43225,10658.77273,10772.06175
"Gambia, The",GMB,637.1055215,542.5042831,442.186688,360.6773244,414.9810528,433.2915831,440.3139384,519.9547093,608.6464388,549.5395067,562.5681661,516.984255,504.9890138,484.1126877,441.2934115
Georgia,GEO,691.9977101,733.9704142,779.3845935,928.0108227,1207.367228,1530.057521,1872.680416,2492.12878,3174.949001,2706.595344,2964.477034,3725.063221,4142.869175,4274.376857,4435.192699
Germany,DEU,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41788.04479,45936.08126,44010.93139,45600.77451,47773.94419
Ghana,GHA,264.7025762,275.4723721,311.616825,375.8807045,426.1592342,501.7240746,929.7266286,1099.022313,1234.0799,1095.503232,1323.099141,1587.190873,1641.825922,1827.101368,1441.636453
Greece,GRC,12076.38614,12538.17883,14110.31339,18477.57841,21955.10409,22551.73574,24801.15781,28827.32636,31997.28201,29710.9703,26919.36164,25914.68155,22242.68193,21842.70331,21672.67177
Greenland,GRL,19004.00345,19275.43281,20652.84127,24706.29193,28416.77767,28985.39087,31902.50475,36070.91982,40863.25732,41097.55636,40193.66603,44010.33322,41471.65588,42827.80827,43364.88285
Grenada,GRD,5117.539563,5109.958715,5292.232379,5773.299151,5836.120212,6754.381175,6764.722867,7322.526171,7946.638501,7394.946194,7365.666535,7410.761115,7583.546304,7956.141831,8573.694067
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,1650.365959,1561.595765,1692.963776,1743.166101,1860.988729,2064.047183,2241.005028,2472.389127,2774.31806,2617.112192,2805.951392,3166.582523,3278.629083,3432.022106,3673.135843
Guinea,GIN,340.414229,316.3823077,323.6278426,371.3209593,387.3679616,303.7609661,296.1745763,407.2065722,433.0747552,430.1999535,430.0564739,447.7909893,487.3457142,521.5389059,539.615775
Guinea-Bissau,GNB,281.4036603,291.9505319,303.0118619,339.8607487,370.9340773,401.147289,395.9779939,455.4358578,553.4565058,517.1470466,518.5983608,659.48378,559.224752,538.7338705,567.8226103
Guyana,GUY,960.1867601,936.9162239,972.2164996,999.1816472,1058.958515,1110.957717,1961.055623,2334.021042,2569.99507,2698.058991,2998.941274,3408.725419,3759.377095,3918.40629,4053.901904
Haiti,HTI,462.4813299,413.7378804,393.0157939,329.7819844,387.9427209,465.3101354,505.5848205,615.8157847,674.7493926,668.2919749,662.2795182,740.947823,766.8722334,810.3265496,824.1597732
Honduras,HND,1138.147032,1187.590233,1196.558653,1228.478361,1298.93929,1405.78216,1547.266659,1720.76736,1899.54847,1975.796099,2110.822021,2323.757115,2395.073442,2356.516704,2434.827162
"Hong Kong",HKG,25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36707.77423,38364.1949,40169.54364
Hungary,HUN,4619.528633,5266.850061,6646.238255,8391.141952,10254.24103,11155.96145,11392.06807,13830.83241,15649.72297,12948.07667,13009.34538,14032.77426,12819.71206,13585.43018,14026.57437
Iceland,ISL,31737.47061,28516.04796,31864.57508,39019.68632,46921.1256,56445.53614,56097.11509,68344.56016,55229.61076,40362.04159,41620.06745,45970.89368,44258.84279,47493.24904,52036.73181
India,IND,452.4135847,460.8261999,480.6214422,557.8973659,640.6005222,729.000727,816.7337762,1050.024801,1022.577592,1124.519446,1387.880084,1471.658439,1449.664875,1455.102191,1581.510703
Indonesia,IDN,780.092079,748.1847461,900.1308039,1065.656546,1150.349294,1263.481446,1590.177906,1860.622626,2167.85765,2262.720786,3125.219934,3647.626622,3700.523538,3623.53236,3491.929717
Iran,IRN,1664.26127,1899.020425,1900.047731,2240.807121,2649.913586,3135.187408,3646.844407,4705.38822,5476.158422,5437.81879,6299.918738,7874.484792,7710.513314,6631.29827,5442.874771
Iraq,IRQ,..,..,..,..,1391.609582,1848.968201,2350.194236,3125.580302,4512.985144,3725.675441,4487.366289,5839.313082,6649.248156,6882.488684,6420.139809
Ireland,IRL,26236.3719,28212.5922,32537.95748,41170.06723,47641.01377,50815.64169,54285.75075,61313.58241,61189.73248,51900.26714,48260.66536,52828.42003,48976.92975,51814.8593,54339.31756
Isle of Man,IMY,20358.66729,20804.49555,24229.51035,28678.84529,34634.052,36980.11308,41232.92064,49593.07503,..,..,..,..,..,..,..
Israel,ISR,21052.10432,20306.19646,18431.15696,18946.99942,19888.172,20611.17931,21905.01769,25008.6037,29657.44201,27795.87671,30736.36389,33707.32496,32818.85838,36281.1999,37206.18294
Italy,ITA,20059.21122,20409.00333,22205.84253,27399.10461,31188.62281,31973.93394,33426.16682,37716.44821,40659.67122,36995.10693,35877.87193,38364.94267,34844.49809,35420.87761,35222.7606
Jamaica,JAM,3448.448874,3487.900025,3706.777706,3581.160016,3853.61404,4238.315843,4487.499707,4816.59587,5119.344953,4489.272772,4902.034731,5332.474361,5445.894718,5226.216036,5106.077464
Japan,JPN,37299.64413,32716.41867,31235.58818,33690.93773,36441.50449,35781.17005,34075.97895,34033.70125,37865.61803,39322.60473,42909.23415,46203.70952,46679.26543,38633.70806,36194.41561
Jordan,JOR,1763.169472,1824.886121,1901.580361,1973.86206,2156.439836,2326.495159,2719.822427,3022.541906,3797.413633,4026.76635,4370.721045,4665.954276,4896.688447,5200.285397,5422.570876
Kazakhstan,KAZ,1229.000958,1490.926751,1658.031146,2068.123657,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.27705,9070.649972,11357.94549,12120.30534,13611.53736,12601.62112
